TYPE,MEOH,ACET,BU1,MEPR,ACAL,LNPRO1
typeA,3.0,15.0,0.2,9.0,9.0,5.86
typeA,23.0,13.0,0.8,9.0,2.0,6.67
typeA,65.0,96.0,0.4,9.0,4.0,5.31
typeA,279.0,66.0,0.9,36.0,4.8,5.45
typeA,292.0,210.0,1.1,34.0,8.0,4.08
typeA,371.0,414.0,1.2,39.0,9.0,6.22
typeA,393.0,287.0,1.8,41.0,9.7,6.47
typeA,394.0,217.0,1.0,31.0,8.6,6.31
typeA,418.0,62.0,0.8,24.0,7.0,5.83
typeA,426.0,204.0,1.3,37.0,8.6,6.07
typeA,465.0,267.0,1.5,39.0,17.0,8.01
typeA,469.0,226.0,1.6,35.0,8.0,6.21
typeA,475.0,172.0,1.9,33.0,14.0,6.30
typeA,498.0,343.0,2.3,42.0,21.0,6.59
typeA,507.0,397.0,3.3,30.0,21.0,5.98
typeA,523.0,367.0,2.6,45.0,25.0,6.67
typeA,583.0,226.0,2.3,46.0,11.0,6.49
typeA,632.5,342.3,2.2,38.2,13.3,7.64
typeB,595.0,410.0,16.0,24.0,11.4,5.09
typeB,630.0,243.0,13.0,13.0,13.0,5.87
typeB,707.0,131.0,15.0,28.0,9.0,4.89
typeB,748.0,346.0,13.0,28.0,25.0,4.43
typeB,771.0,339.0,21.0,50.0,13.0,4.69
typeB,798.0,123.0,15.0,30.0,9.6,4.36
typeB,842.0,299.0,20.0,27.0,11.0,3.95
typeB,847.0,381.0,16.0,44.0,20.0,5.26
typeB,883.0,205.0,17.0,32.0,13.0,5.34
typeB,885.0,41.0,18.0,34.0,4.7,4.85
typeB,887.0,423.0,9.3,36.0,15.0,5.86
typeB,903.0,312.0,24.0,24.0,7.0,4.26
typeB,917.0,86.0,26.0,21.0,14.0,4.57
typeB,961.0,58.0,16.0,59.0,8.3,4.19
typeB,965.0,176.0,18.0,43.0,13.0,4.63
typeB,1010.0,343.0,19.0,27.0,11.0,3.85
typeB,1013.0,116.0,21.0,22.0,10.0,4.11
typeB,1026.0,84.0,10.0,72.0,11.0,5.22
typeB,1035.0,159.0,21.0,22.0,15.0,4.16
typeB,1038.0,396.0,18.0,28.0,11.0,4.11
typeB,1041.0,399.0,20.0,37.0,9.6,4.73
typeB,1044.0,217.0,18.0,15.0,10.0,4.98
typeB,1069.0,112.0,17.0,24.0,8.5,4.23
typeB,1073.0,483.0,23.0,16.0,24.0,6.71
typeB,1090.0,106.0,18.0,26.0,22.0,4.60
typeB,1105.0,495.0,21.0,18.0,12.0,6.40
typeB,1110.0,169.0,17.0,22.0,16.0,7.17
typeB,1119.0,412.0,20.0,37.0,8.2,4.77
typeB,1123.0,109.0,19.0,27.0,8.4,4.33
typeC,546.0,119.0,12.0,28.0,7.4,3.30
typeC,620.0,123.0,20.0,26.0,18.0,6.28
typeC,626.0,149.0,10.0,15.0,7.6,5.31
typeC,664.0,150.0,14.0,32.0,7.7,3.64
typeC,810.0,176.0,10.0,58.0,6.0,5.66
typeC,815.0,147.0,17.0,39.0,15.0,5.87
typeC,817.0,130.0,8.6,21.0,8.6,5.36
typeC,898.0,80.0,19.0,29.0,9.5,4.09
typeC,910.0,214.0,24.0,57.0,13.0,5.92
typeC,927.0,155.0,10.0,27.0,10.0,4.13
typeC,938.0,175.0,22.0,48.0,12.0,7.94
typeC,951.0,153.0,30.0,51.0,14.0,4.54
typeC,970.0,338.0,15.0,30.0,14.0,5.32
typeC,1029.0,182.0,20.0,54.0,15.0,5.63
typeC,1040.0,197.0,18.0,50.0,4.3,4.28
typeC,1087.0,269.0,16.0,29.0,10.0,6.39
typeC,1116.0,113.0,30.0,69.0,17.0,4.03
typeC,1119.0,124.0,19.0,59.0,15.0,7.22
typeC,1121.0,181.0,16.0,32.0,17.0,3.91
typeC,1135.0,245.0,18.0,32.0,9.1,6.81
typeC,1148.0,127.0,30.0,53.0,16.0,4.49
typeC,1154.0,203.0,15.0,56.0,14.0,3.91
typeC,1187.0,143.0,30.0,61.0,14.0,4.16
typeC,1197.0,152.0,30.0,62.0,11.0,4.85
typeC,1237.0,154.0,30.0,59.0,10.0,5.26
typeC,1264.0,224.0,20.0,49.0,17.0,6.23
typeC,1286.0,144.0,30.0,52.0,15.0,4.22
typeC,1401.0,219.0,20.0,41.0,22.0,4.14
typeC,1501.0,161.0,19.0,25.0,21.0,6.84
typeC,1548.0,254.0,16.0,46.0,28.0,4.64
