ID X1 X2  X3 X4   Y1    Y2    Y3
 1 09 12  09 20  93.0  96.0  97.8
 2 07 10  10 15  88.8  91.8  96.8
 3 08 12  09 26  95.0 100.3  99.0
 4 12 14  12 29 101.3 103.8 106.8
 5 10 15  12 32 102.0 107.8 103.0
 6 10 14  11 21  95.8  97.5  99.3
 7 09 12  09 25  95.5  99.5  99.0
 8 18 20  15 51 110.8 122.0 115.3
 9 10 17  13 31 102.8 108.3 103.8
10 14 18  11 39 106.8 120.5 102.0
11 12 17  12 32 103.3 109.8 104.0
12 10 18  08 31  99.5 111.8 100.3
13 16 17  11 34 103.5 112.5 107.0
14 08 10  11 34  99.5 105.5 102.3
15 13 10  08 34 100.0 107.0 102.8
16 07 09  05 16  81.5  93.5  95.0
17 11 12  11 32 101.3 105.3 102.8
18 11 14  11 35 103.3 110.8 103.5
19 05 14  13 30  95.3 104.3 103.0
20 17 17  11 27  99.5 105.3 106.3
21 10 12  07 15  88.5  95.3  95.8
22 05 11  11 42  99.3 115.0 104.3
23 09 09  07 16  87.5  92.5  95.8
24 12 15  12 37 105.3 114.0 105.3
25 16 19  12 39 107.0 121.0 109.0
26 10 15  07 23  93.3 102.0  97.8
27 14 16  12 39 106.8 118.0 107.3
28 10 16  11 49 106.8 120.0 104.8
29 08 10  13 17  92.3  90.8  99.8
30 09 17  11 44 106.3 121.0 104.5
31 18 15  10 43 106.0 119.5 110.5
32 13 11  08 10  88.3  92.8  96.8
33 07 15  11 27  96.0 103.3 100.5
34 10 12  11 19  94.3  94.5  99.0
35 18 17  10 42 106.5 121.5 110.5
36 08 13  14 47 106.5 115.5 107.0
37 18 16  08 18  92.0  99.5 103.5
38 13 12  14 28 102.0  99.8 103.3
39 15 19  12 41 108.3 122.3 108.5
40 14 20  12 37 106.8 119.0 106.8
41 09 17  13 32 102.5 109.3 103.8
42 13 15 06 23   92.5 102.5  99.3
43 17 20 10 32  102.8 113.8 106.8
44 01 05 09 15   83.3  87.3  96.3
45 07 16 11 24   94.8 101.8  99.8
46 18 13 12 37  103.5 112.0 110.8
47 07 15 11 14   89.5  96.0  97.3
48 08 08 08 09   84.3  89.8  94.3
49 14 12 12 36  104.3 109.5 106.5
50 12 16 11 39  106.0 118.5 105.0

