owner income  size
1       20.0  9.2  
1       28.5  8.4  
1       21.6 10.8  
1       20.5 10.4  
1       29.0 11.8  
1       36.7  9.6  
1       36.0  8.8  
1       27.6 11.2  
1       23.0 10.0  
1       31.0 10.4  
1       17.0 11.0  
1       27.0 10.0  
2       25.0  9.8        
2       17.6 10.4        
2       21.6  8.6        
2       14.4 10.2        
2       28.0  8.8        
2       16.4  8.8        
2       19.8  8.0        
2       22.0  9.2        
2       15.8  8.2        
2       11.0  9.4        
2       17.0  7.0         
2       21.0  7.4
