년도	인구	국민소득	자동차수	범죄수	자동차사고
1981	"3,872"	"1,800"	572	626	123
1982	"3,933"	"1,893"	647	664	141
1983	"3,991"	"2,076"	785	787	170
1984	"4,041"	"2,257"	948	804	134
1985	"4,081"	"2,309"	"1,113"	810	147
1986	"4,121"	"2,643"	"1,309"	810	154
1987	"4,162"	"3,321"	"1,611"	946	176
1988	"4,203"	4.435	"2,035"	969	225
1989	"4,245"	"5,417"	"2,660"	"1,074"	256
1990	"4,287"	"6,147"	"3,395"	"1,171"	255
1991	"4,330"	"7,105"	"4,248"	"1,230"	266
1992	"4,375"	"7,527"	"5,231"	"1,241"	257
1993	"4,420"	"8,177"	"6,274"	"1,359"	261
1994	"4,464"	"9,459"	"7,404"	"1,373"	266
1995	"4,509"	"11,432"	"8,469"	"1,399"	249
1996	"4,553"	"12,197"	"9,553"	"1,495"	265
1997	"4,595"	"11,176"	"10,413"	"1,589"	246
1998	"4,629"	"7,355"	"10,470"	"1,766"	240
1999	"4,662"	"9,439"	"11,164"	"1,733"	276
2000	"4,701"	"10,841"	"12,059"	"1,868"	290
2001	"4,736"	"10,160"	"12,914"	"1,986"	261
2002	"4,762"	"11,499"	"13,949"	"1,978"	231
2003	"4,786"	"12,720"	"14,587"	"2,004"	241
2004	"4,804"	"14,193"	"14,934"	"2,081"	221
2005	"4,814"	"16,291"	"15,397"	"1,894"	214
