 YEAR    POP     GNI     VEH       CRIME       ACCI        HOSP
 1981    3872   1800     572        626         123         773
 1982    3933   1893     647        664         141         911
 1983    3991   2076     785        787         170        1116
 1984    4041   2257     948        804         134        1254
 1985    4081   2309    1113        810         147        1355
 1986    4121   2643    1309        810         154        1426
 1987    4162   3321    1611        946         176        1768
 1988    4203   4435    2035        969         225        1791
 1989    4245   5417    2660       1074         256        1954
 1990    4287   6147    3395       1171         255        2226
 1991    4330   7105    4248       1230         266        2405
 1992    4375   7527    5231       1241         257        2524
 1993    4420   8177    6274       1359         261        2733
 1994    4464   9459    7404       1373         266        2919
 1995    4509  11432    8469       1399         249        2819
 1996    4553  12197    9553       1495         265        3109
 1997    4595  11176   10413       1589         246        3378
 1998    4629   7355   10470       1766         240        3366
 1999    4662   9439   11164       1733         276        3412
 2000    4701  10841   12059       1868         290        3186
 2001    4736  10160   12914       1986         261        3910
 2002    4762  11499   13949       1978         231        4194
 2003    4786  12720   14587       2004         241        4312
 2004    4804  14193   14934       2081         221         NA
 2005    4814  16291   15397       1894         214         NA
