seq	sex	marriage	age	job	edu	salary
1	1	1	21	1	4	60
2	1	1	22	5	5	100
3	1	1	33	1	4	200
4	2	2	33	7	4	120
5	1	2	28	1	4	70
6	1	1	21	5	5	80
7	2	2	39	7	4	190
8	1	1	32	1	4	100
9	1	2	44	3	1	120
10	1	2	55	4	4	110
11	2	2	46	7	5	150
12	1	1	20	1	4	50
13	1	2	31	6	4	210
14	1	1	27	1	4	60
15	2	1	21	5	5	80
16	2	1	22	5	5	70
17	2	2	41	7	5	250
18	2	2	49	7	5	300
19	2	1	29	1	4	100
20	2	2	27	7	4	60
21	1	2	32	6	5	150
22	1	2	35	6	5	170
23	1	2	47	6	4	130
24	1	2	52	4	5	200
25	1	3	59	4	5	230
26	1	2	22	3	3	60
27	1	2	32	3	2	70
28	2	2	41	1	4	130
29	1	1	26	1	5	80
30	2	2	56	1	4	150
31	1	2	31	6	5	220
32	1	3	42	1	5	200
33	1	1	25	2	4	90
34	2	1	26	3	3	50
35	2	1	24	3	3	50
36	1	2	34	1	4	100
37	1	2	46	6	4	120
38	1	2	56	6	5	349
39	1	1	21	5	5	80
40	1	2	23	8	4	100
