iaip,iaip_1
55,55
52,52
59,59
57,57
60,60
60,60
59,59
58,58
59,59
60,60
60,60
64,64
57,57
55,55
60,60
60,60
62,62
61,61
60,60
60,60
64,64
62,62
64,64
68,68
63,63
58,58
66,66
66,66
68,68
65,65
66,66
64,64
67,67
69,69
69,69
73,73
65,65
61,61
68,68
68,68
68,68
68,68
67,67
66,66
68,68
71,71
71,71
78,78
67,67
65,65
72,72
71,71
71,71
71,71
70,70
68,68
71,71
72,72
72,72
78,78
70,70
65,65
74,74
73,73
74,74
74,74
73,73
72,72
74,74
75,75
78,78
84,84
73,73
70,70
78,78
77,77
78,78
78,78
74,74
76,76
81,81
79,79
82,82
87,87
77,77
74,74
82,82
80,80
82,82
83,83
81,81
82,82
82,82
86,86
87,87
93,93
84,84
79,79
87,87
86,86
86,86
85,85
85,85
82,82
85,85
85,85
81,81
87,87
76,76
76,76
84,84
85,85
83,83
88,88
86,86
83,83
92,92
87,87
88,88
99,99
85,85
83,83
94,94
90,90
91,91
94,94
91,91
88,88
90,90
92,92
92,92
102,102
92,92
83,83
98,98
93,93
94,94
97,97
93,93
91,91
94,94
95,95
95,95
104,104
91,91
91,91
98,98
93,93
96,96
97,97
95,95
91,91
96,96
94,94
97,97
104,104
94,94
90,90
98,98
97,97
98,98
98,98
96,96
94,94
95,95
99,99
98,98
106,106
95,95
91,91
101,101
98,98
97,97
100,100
99,99
94,94
96,96
99,99
98,98
109,109
96,96
91,91
102,102
100,100
98,98
102,102
99,99
97,97
101,101
102,102
102,102
112,112
97,97
93,93
105,105
101,101
103,103
107,107
102,102
101,101
102,102
104,104
106,106
117,117
99,99
99,99
110,110
104,104
105,105
109,109
105,105
103,103
110,110
102,102
108,108
116,116
104,104
98,98
110,110
107,107
108,108
110,110
107,107
106,106
105,105
110,110
109,109
117,117
105,105
96,96
109,109
108,108
110,110
110,110
109,109
106,106
106,106
110,110
111,111
122,122
105,105
101,101
110,110
102,102
103,103
110,110
107,107
102,102
110,110
107,107
110,110
121,121
106,106
