gdp,gdp_sa
15052.70 ,17109.70 
18205.60 ,17797.70 
17405.90 ,17907.80 
21438.50 ,19287.50 
16974.80 ,19395.70 
20607.80 ,20027.50 
19382.40 ,20066.20 
22741.30 ,20216.90 
17900.20 ,20507.50 
21674.80 ,21113.60 
20608.70 ,21461.60 
25272.80 ,22374.00 
20174.90 ,23114.00 
24604.50 ,24085.30 
24372.90 ,25311.30 
29035.80 ,25677.60 
23304.20 ,26749.70 
27269.10 ,26679.20 
26234.90 ,27095.60 
30719.40 ,27003.20 
23805.90 ,27385.20 
29061.60 ,28674.50 
28373.60 ,29494.00 
34716.80 ,30404.10 
26745.00 ,31282.40 
33298.50 ,32786.20 
32227.10 ,33422.30 
39018.50 ,33798.20 
29210.40 ,34136.50 
36235.50 ,35868.30 
36593.50 ,38023.70 
45445.50 ,39456.50 
33621.60 ,39137.10 
40978.10 ,40343.40 
40176.00 ,41093.50 
48863.20 ,43064.90 
38544.00 ,44996.80 
45718.20 ,45336.90 
43297.40 ,44082.10 
50268.80 ,43412.60 
38624.40 ,43797.30 
44131.80 ,43561.00 
44290.80 ,44385.60 
47854.90 ,43158.00 
40088.10 ,44934.00 
45837.10 ,46019.40 
47772.40 ,47935.10 
53877.90 ,48687.10 
43697.70 ,49017.50 
49821.50 ,50168.60 
51668.20 ,51209.10 
58028.40 ,52820.60 
49699.10 ,55160.80 
56472.80 ,56864.00 
59963.10 ,58975.70 
64263.30 ,59397.90 
56557.10 ,62000.30 
63361.70 ,63554.30 
65688.50 ,64420.70 
69101.80 ,64733.80 
60797.60 ,66553.40 
67581.30 ,68156.60 
70487.50 ,68932.00 
75809.00 ,71033.50 
66339.30 ,72401.20 
74470.30 ,75222.80 
80269.20 ,78470.30 
84709.80 ,79694.30 
76258.20 ,82253.70 
85822.00 ,86327.90 
88911.00 ,87170.20 
93704.90 ,88944.40 
88855.40 ,95796.00 
93021.90 ,93726.10 
98341.00 ,96674.40 
105799.20 ,99820.80 
93280.10 ,99864.00 
100298.30 ,101322.60 
105160.70 ,103920.90 
114580.90 ,108212.60 
102643.40 ,109314.80 
111261.30 ,111753.20 
116241.40 ,115366.10 
123999.90 ,117711.80 
114343.20 ,122126.20 
124393.30 ,124155.30 
127579.90 ,126818.80 
136777.60 ,129993.80 
124223.30 ,132308.20 
133976.80 ,133236.60 
133823.30 ,133326.70 
142255.70 ,135407.50 
130454.00 ,138103.00 
142664.30 ,141645.80 
144405.60 ,144257.30 
153500.10 ,147017.90 
143155.80 ,151306.20 
154928.20 ,153774.90 
156472.60 ,156361.70 
169393.60 ,162507.40 
156877.70 ,165904.60 
170434.50 ,169258.90 
173299.70 ,172772.50 
183328.40 ,176004.30 
169643.10 ,179362.70 
184170.70 ,182986.10 
186973.70 ,186204.70 
197120.50 ,189354.50 
179873.50 ,190240.80 
198253.70 ,196995.40 
199804.50 ,198555.10 
205509.40 ,197649.70 
174597.80 ,184173.90 
184021.80 ,182685.90 
187002.30 ,185877.70 
197632.90 ,190517.30 
186867.20 ,196298.80 
206407.90 ,204902.90 
210992.10 ,210601.60 
224216.10 ,216680.10 
210585.80 ,220786.30 
225287.60 ,223728.30 
230172.30 ,229891.10 
237505.20 ,229145.20 
221365.20 ,231953.50 
236420.00 ,234966.30 
238124.70 ,238138.80 
251484.90 ,242336.20 
237385.40 ,248502.40 
254479.20 ,253005.60 
257558.00 ,258120.90 
271159.80 ,260953.40 
247351.60 ,259233.30 
260380.10 ,258833.70 
262915.20 ,263836.10 
282056.20 ,270800.00 
261589.10 ,274198.00 
277912.90 ,276291.50 
276493.00 ,277412.10 
291421.20 ,279514.70 
269327.00 ,281893.10 
288655.80 ,287212.60 
290326.60 ,291536.10 
306820.20 ,294487.80 
